age,u,std
-310000000.0,-0.4329596906707266,0.11092731200083995
-308850000.0,-0.4146456044956848,0.047128535861538465
-307700000.0,-0.41652987222758875,0.03029135850201244
-306550000.0,-0.3593992852887071,0.058519494611575976
-305400000.0,-0.40940035659211305,0.061613676832254285
-305200000.0,-0.4432024787,0.06898827313235294
-305000000.0,-0.47906435593058827,0.07823671297705885
-304800000.0,-0.4946233031877575,0.07160392955797526
-304600000.0,-0.5013010441529412,0.06479688005882353
-304400000.0,-0.48650426253411766,0.06683803168235292
-304200000.0,-0.4414271388156863,0.07191682959019607
-304000000.0,-0.4967790432448378,0.08406344974041301
-303800000.0,-0.42710369282352945,0.11146859264705881
-303600000.0,-0.5304233064057143,0.09895321561999999
-303400000.0,-0.3932534828105023,0.06407977967123288
-303200000.0,-0.42418150080239864,0.05966682583323814
-303000000.0,-0.41168327920616793,0.06390796834209023
-302800000.0,-0.40064355889726033,0.057063520089041087
-302600000.0,-0.409577132195317,0.045751534205025694
-302400000.0,-0.4283610314166667,0.034952742833333335
-302200000.0,-0.4556908063757853,0.03184689241176472
-302000000.0,-0.4995814516712329,0.031799953624999974
-301800000.0,-0.5499180167376154,0.03511835245717882
-301600000.0,-0.5969607896397326,0.041336396458080224
-301400000.0,-0.6263160709262344,0.04259666161808448
-301200000.0,-0.6338079865504277,0.04006553306703799
-301000000.0,-0.6300382594766263,0.03799756847583049
-300800000.0,-0.6262685324028248,0.03592960388462299
-300600000.0,-0.6162045445197657,0.039347552010248886
-300400000.0,-0.6047742840034602,0.042768696494809695
-300200000.0,-0.5870007669140049,0.042185304995086007
-300000000.0,-0.5645637182068965,0.03757285072413795
-299800000.0,-0.5425871988379889,0.03750833856052144
-299600000.0,-0.5307010880338984,0.037361937271186405
-299400000.0,-0.5217514078489893,0.048876819174791905
-299200000.0,-0.4948236942094595,0.05843081376719899
-299000000.0,-0.4475824568442331,0.06514734998335314
-298800000.0,-0.4238122513703704,0.07478118737037036
-298600000.0,-0.46390044679719,0.06450993979657908
-298400000.0,-0.5282677911616767,0.06938739223353291
-298200000.0,-0.5601909262788185,0.08626748195461094
-298000000.0,-0.5175117976688103,0.10011346929903535
-297800000.0,-0.40164942666560405,0.08861180166325505
-297600000.0,-0.2918662647509259,0.09842968249753087
-297400000.0,-0.2806286279567502,0.07999333838276057
-297200000.0,-0.3484473211519084,0.08036515456717556
-297000000.0,-0.40724336825726143,0.10588862691701244
-296800000.0,-0.41548852838473405,0.11351512431148804
-296600000.0,-0.4211184201272016,0.10089051529549903
-296400000.0,-0.44994301691410393,0.07575042615005301
-296200000.0,-0.47404915603402065,0.05610967208350515
-296000000.0,-0.47720788354186205,0.04475123334963159
-295800000.0,-0.45732385012874255,0.04227325059281436
-295600000.0,-0.40762158267772974,0.05953679918254009
-295400000.0,-0.3511693107510308,0.08247531239200814
-295200000.0,-0.3128811320143803,0.11761784343407991
-295000000.0,-0.3327491964582591,0.16838087545240515
-294800000.0,-0.3600030599844275,0.21748732076824426
-294600000.0,-0.43928010907786263,0.26721501108549617
-294400000.0,-0.4908857432948816,0.2994323392704354
-294200000.0,-0.4407820584824428,0.2678523663167939
-294000000.0,-0.42858556790687025,0.1927823351503817
-293800000.0,-0.47188974979373566,0.13304984925286478
-293600000.0,-0.4452268099312977,0.08813491964885498
-293400000.0,-0.44439389072727276,0.07601506136363635
-293200000.0,-0.4447979883846154,0.08077741988020179
-293000000.0,-0.28693587683712124,0.08689291641818182
-292800000.0,-0.1998826519807767,0.14557235297058252
-292600000.0,-0.3340306209055556,0.0924635819820707
-292400000.0,-0.4524800656624606,0.11397176242902207
-292200000.0,-0.5694360750700345,0.16908889482433984
-292000000.0,-0.45221946623368425,0.11367492721052633
-291000000.0,-0.10626452145638529,0.10959332170043291
-290000000.0,-0.31411717217281554,0.1282542890699029
