age,pco2,pco2_std,d13c,d13c_std,u,u_std
-309000000,453.28165,183.1564834,4.385787186,0.155897564,-0.414150527,0.067582277
-308000000,495.0221536,179.5089465,4.124843786,0.11727399,-0.411408071,0.057329596
-307000000,390.9800997,186.2230533,4.480292201,0.149814975,-0.386918604,0.05937737
-306000000,368.2726583,134.557851,4.210379654,0.143053882,-0.378310739,0.066927853
-305000000,343.8423405,149.4667468,4.047999997,0.210405945,-0.460063208,0.067428304
-303700000,570.9774333,199.315037,2.88049139,0.185150492,-0.57,0.072142544
-303000000,481.0868382,175.0182608,3.905861059,0.146467024,-0.41511912,0.076726782
-302000000,425.1853658,254.5439043,4.306950075,0.129775036,-0.520376656,0.062421376
-301000000,447.238,275.6876,4.906241818,0.134572398,-0.605181409,0.063277347
-300000000,377.4538957,156.0518625,5.087097249,0.16921442,-0.565498375,0.061222601
-299000000,263.9936683,159.9113548,5.143905906,0.120562364,-0.483436768,0.0641619
-298000000,276.2797629,145.3675271,5.098607211,0.150613506,-0.456370616,0.0618324
-297000000,358.5112371,182.413932,5.271496232,0.197619328,-0.367470208,0.067558218
-296000000,276.0010976,170.55867,5.112559855,0.181609034,-0.47,0.061476956
-295000000,197.0441513,199.9257472,4.251600708,0.128166013,-0.31978548,0.077460816
-294000000,319.0634454,155.2393848,3.673479999,0.130445707,-0.44830773,0.092733763
-293600000,331.5595208,134.7831869,3.652992029,0.136735345,-0.477367326,0.068204765
-293000000,289.7179148,135.4321042,3.593958076,0.155395408,-0.393672286,0.066507366
-292000000,252.3501577,145.318802,4.168817133,0.127691735,-0.315424953,0.069444196
-291000000,311.9807172,171.9425386,4.105996623,0.122529231,-0.118751283,0.073352491
-290100000,372.5234035,328.5475225,3.940012902,0.137293802,-0.6649906,0.111048264
